Typeface,size
AmericanTypewriter,36
Athelas-Italic,42
Avenir-BlackOblique,42
Baskerville-Bold,42
Baskerville-BoldItalic,42
Bungee-Regular,42
CooperBlack,36
Copperplate-Bold,42
Courier,42
DiamondRingLinear-Regular,56
Didot,42
Futura-CondensedExtraBold,42
GillSans-UltraBold,42
HoeflerText-Black,42
JerseyLetters,42
Montserrat-Black,42
NasalizationRg-Regular,36
OldLondon,48
OleoScript-Bold,42
RobotoSlab-Black,42
STHeitiTC-Medium,42
SavoyeLetPlain,56
SignPainter-HouseScriptSemibold,48
Silom,42
Trattatello,42
